year;month;day;hour;PM10;SO2
2016;3;26;17;20.4438669576009;2.01141391381593
2016;3;26;18;18.996546214803;1.90522193460328
2016;3;26;19;21.7079319328308;1.73293630952521
2016;3;26;20;23.4523546941121;2.02547204918255
2016;3;26;21;29.6552366078694;3.53086818699236
2016;3;26;22;28.1549403559366;1.97851794232697
2016;3;26;23;31.1506815215466;1.91674486923978
2016;3;27;0;29.6107999779652;2.8188094756014
2016;3;27;1;33.7105481811523;2.37120971200182
2016;3;27;2;24.03964761734;1.69151308308859
2016;3;27;3;19.1842321515401;1.63452851865079
2016;3;27;4;18.0867995084126;-999
2016;3;27;5;18.1079668673197;1.84873626609481
2016;3;27;6;20.496615355428;1.70399778291782
2016;3;27;7;40.6435565119425;2.99760560779049
2016;3;27;8;26.7609356267293;3.15305001731059
2016;3;27;9;20.0057305323282;1.88370054127903
2016;3;27;10;19.8372806236267;1.81070600595462
2016;3;27;11;18.918540847524;2.05404033821756
2016;3;27;12;18.148843959554;5.81159815710484
2016;3;27;13;16.4423069684346;5.77478123508641
2016;3;27;14;13.4130114267985;6.62358995832202
2016;3;27;15;13.5452418306986;6.53815962025609
2016;3;27;16;12.3528394650777;24.5585696190118
2016;3;27;17;11.9598023656209;6.40710063357652
2016;3;27;18;18.6572228897094;2.5692168501152
2016;3;27;19;26.2834560043334;1.81681455013649
2016;3;27;20;28.0433092437744;1.76670478342013
2016;3;27;21;29.9368699412027;1.62196126272681
2016;3;27;22;28.8545649551391;1.74937383717114
2016;3;27;23;28.9701629411285;1.92325013475139
2016;3;28;0;27.9937906152757;2.47848647750175
2016;3;28;1;28.982591994222;2.67827114756912
2016;3;28;2;30.9127695419311;3.25764867487556
2016;3;28;3;38.4162200505574;3.11337619534922
2016;3;28;4;35.8387497441609;2.18896455965554
2016;3;28;5;38.4006758361816;-999
2016;3;28;6;42.8845624450683;3.18160419537516
2016;3;28;7;46.5112425750732;4.15879780707141
2016;3;28;8;38.4194387908935;10.3301147985776
2016;3;28;9;40.732334751892;64.8299229286425
2016;3;28;10;32.3771114629109;28.5510653375582
2016;3;28;11;29.9339163024902;29.8155828985249
2016;3;28;12;26.3522596440633;29.6417787764251
2016;3;28;13;23.1882914484659;15.0876666286971
2016;3;28;14;23.430600272878;43.0784741114447
2016;3;28;15;15.5002220710754;5.81923088712285
2016;3;28;16;13.079519669342;4.14453983773917
2016;3;28;17;14.1896378278096;4.7779642097604
2016;3;28;18;31.3301550031026;4.76375281761761
2016;3;28;19;50.8589603182474;7.46432032018651
2016;3;28;20;81.2958087320963;7.0690825869139
2016;3;28;21;65.2782081542968;13.4927635054679
2016;3;28;22;48.2338159754435;55.3697152810115
2016;3;28;23;29.0736054472081;55.4584414914325
2016;3;29;0;30.122077011367;33.2402315547674
2016;3;29;1;21.2841283111572;19.9550549293286
2016;3;29;2;19.7711468147277;2.70354781535949
2016;3;29;3;20.0708235257466;2.61373025209008
2016;3;29;4;17.1954749272664;2.24027302801715
2016;3;29;5;20.2058748911539;2.42583647670372
2016;3;29;6;21.4560051124572;-999
2016;3;29;7;43.4428306045532;7.67661130476859
2016;3;29;8;32.080388264211;2.80124910226985
