year;month;day;hour;O3
2016;11;28;12;63.3423336029052
2016;11;28;13;66.1633332570393
2016;11;28;14;67.1400002161661
2016;11;28;15;67.6296663920084
2016;11;28;16;66.7613330841064
2016;11;28;17;64.1879998524983
2016;11;28;18;62.9973332087198
2016;11;28;19;63.7749999364217
2016;11;28;20;65.0809998194376
2016;11;28;21;65.9646668752034
2016;11;28;22;68.0829995473225
2016;11;28;23;68.7943333943685
2016;11;29;0;68.5383332570393
2016;11;29;1;66.4169998168945
2016;11;29;2;67.6537504196167
2016;11;29;3;68.528333346049
2016;11;29;4;67.5393330891927
2016;11;29;5;68.0926664988199
2016;11;29;6;68.1600002288818
2016;11;29;7;65.9696667353312
2016;11;29;8;66.1100004831949
2016;11;29;9;66.0676668802897
2016;11;29;10;66.2563334147135
2016;11;29;11;66.0506663004557
2016;11;29;12;66.1756669362386
2016;11;29;13;67.3110001881917
2016;11;29;14;67.2243338902791
2016;11;29;15;64.5640002568562
2016;11;29;16;61.5666666030883
2016;11;29;17;58.2210000356038
2016;11;29;18;57.9016665140787
2016;11;29;19;63.0326667785644
2016;11;29;20;67.8976668039957
2016;11;29;21;70.0050004323323
2016;11;29;22;71.5996668497721
2016;11;29;23;71.6730002085367
2016;11;30;0;72.6620001475016
2016;11;30;1;73.7456671396891
2016;11;30;2;74.4366666475931
2016;11;30;3;72.8475003242492
2016;11;30;4;74.6550001780192
2016;11;30;5;75.2719999949137
2016;11;30;6;74.4436665852864
2016;11;30;7;71.5283330281575
2016;11;30;8;68.4766665140787
2016;11;30;9;66.3163335164388
2016;11;30;10;70.4903330485026
2016;11;30;11;73.7083335876464
2016;11;30;12;74.621666208903
2016;11;30;13;72.9516671498616
2016;11;30;14;72.4080003738403
2016;11;30;15;73.2283331553141
2016;11;30;16;72.447333908081
2016;11;30;17;74.2326667785644
2016;11;30;18;70.4743335723876
2016;11;30;19;75.065000406901
2016;11;30;20;68.6313331604003
2016;11;30;21;65.7063330968221
2016;11;30;22;62.2756666819254
2016;11;30;23;60.598666636149
2016;12;1;0;55.950666809082
2016;12;1;1;58.9283333460489
2016;12;1;2;51.6583332220713
2016;12;1;3;56.960833231608
2016;12;1;4;57.6906666437784
2016;12;1;5;51.8976666768391
2016;12;1;6;51.5840001424153
2016;12;1;7;46.5526664098103
2016;12;1;8;49.0813335418701
2016;12;1;9;49.936332766215
2016;12;1;10;55.4613334019978
2016;12;1;11;60.6543332417806
2016;12;1;12;64.6750002543131
2016;12;1;13;70.9660002390543
2016;12;1;14;70.4820002237955
2016;12;1;15;72.5856666564941
2016;12;1;16;75.6073331197102
2016;12;1;17;56.6333335558573
2016;12;1;18;57.9556664148966
2016;12;1;19;60.1889996210734
2016;12;1;20;62.6860000610351
2016;12;1;21;55.362666384379
2016;12;1;22;47.7816666920979
2016;12;1;23;49.1006664276123
2016;12;2;0;34.7543332417806
2016;12;2;1;36.9480002403259
2016;12;2;2;38.3299998442331
2016;12;2;3;33.1841666301091
2016;12;2;4;31.8913333257039
2016;12;2;5;38.5913333257039
2016;12;2;6;32.8273333549499
2016;12;2;7;33.3443333625793
2016;12;2;8;33.8213332494099
2016;12;2;9;40.5573335647583
2016;12;2;10;44.1459999084472
2016;12;2;11;49.6726668039957
2016;12;2;12;51.1943333307902
2016;12;2;13;56.283666674296
2016;12;2;14;54.7869998296101
2016;12;2;15;51.9916666666666
2016;12;2;16;45.9690002441406
2016;12;2;17;37.3769998550415
2016;12;2;18;34.4166667938232
