year;month;day;hour;NO2;NOx;O3;NO
2016;1;19;2;21.7199159567582;30.5852165420968;8.91816925908608;5.78191936711153
2016;1;19;3;17.9582128009468;23.2993208609172;10.6797085590099;3.4834527985267
2016;1;19;4;12.7431399563346;16.3158812004743;15.1391382467039;2.33012988046136
2016;1;19;5;11.0155224596695;14.3686985889561;16.5802737943819;2.1869302475002
2016;1;19;6;9.62853230835104;12.7880400820013;15.4490533565976;2.06062039421647
2016;1;19;7;8.65590671337574;11.5049703798319;14.6919130435312;1.85814978664795
2016;1;19;8;11.5350593142987;15.4579049034888;12.436002911167;2.5584667624059
2016;1;19;9;16.7912749434548;24.2760923927232;6.69005062471343;4.88157288663054
2016;1;19;10;21.7981380890182;54.3878458412203;6.8230958362605;21.2548983090983
2016;1;19;11;26.2810557502515;53.3531133909367;20.2037562231045;17.6563053754887
2016;1;19;12;17.6771875801906;29.047227551231;37.4658025015624;7.41550201040133
2016;1;19;13;7.31342272739645;11.8109493015966;53.0537091370498;2.93327177721107
2016;1;19;14;5.84443037275528;8.92450342839463;60.2229900389293;2.00881333702001
2016;1;19;15;5.13893104020956;7.58146506334341;64.8565103411886;1.59301251404179
2016;1;19;16;4.54815478132323;6.72173952899465;66.153012211985;1.41760469683382
2016;1;19;17;4.37460611360064;6.40454238699259;-999;1.32391764274046
2016;1;19;18;5.92636377979413;7.92578549934501;62.8088845911935;1.30401615286608
2016;1;19;19;-999;-999;43.6355704133068;-999
2016;1;19;20;50.9726206921753;77.5751684799041;14.8402166208991;17.3500926209717
2016;1;19;21;55.2032875012437;96.1899607404664;4.08605213926957;26.7313710927358
2016;1;19;22;41.403936682045;65.5216308353488;3.83430054446656;15.7294793981014
2016;1;19;23;35.5244380425478;57.8865337722315;4.03874380067141;14.5844839826965
2016;1;20;0;33.3560948616049;60.4933642176591;3.30350886859481;17.6988362379705
2016;1;20;1;26.3557730220421;39.8449627699288;4.69091671109036;8.79760440147213
2016;1;20;2;25.42443345195;38.6371047189575;3.93430721224154;8.61725997382763
2016;1;20;3;22.5264567676581;31.5222088588686;4.03057558697301;5.86699940258339
2016;1;20;4;18.3358940373043;27.0538490013838;5.97290263684761;5.68582104613345
2016;1;20;5;12.6228814787404;16.8933059321274;8.51279868675684;2.7851565341912
2016;1;20;6;14.3229228320761;18.7879227777778;6.61821838170452;2.9120580189801
2016;1;20;7;11.9589122342263;16.0541549141335;9.06405078463246;2.6709035679102
2016;1;20;8;17.2778561913416;32.105821923498;4.75830655868609;9.67074961715433
2016;1;20;9;20.8918382534848;37.2351731906242;3.20497172110176;10.6590683402786
2016;1;20;10;23.8194308985352;59.6670508705234;5.4124866057182;23.3796977536973
2016;1;20;11;31.8647015913756;71.1915034157639;10.3593353436084;25.6488085120357
2016;1;20;12;32.8848278302794;57.4281723161374;28.9350145198002;16.0070871202222
2016;1;20;13;25.0582242756935;36.9306081339303;49.4114684344182;7.74312901214506
2016;1;20;14;10.3244047166562;13.7719213141335;58.0163499738844;2.24845878507016
2016;1;20;15;10.9360559009005;14.0421235622408;61.6788036156138;2.02576693184694
2016;1;20;16;11.2238666940606;14.3080971807273;57.8305518699878;2.01152479961994
2016;1;20;17;7.23145678944502;9.44432401557571;57.0300856484785;1.44322459779549
2016;1;20;18;6.75883141679332;8.81032058315375;-999;1.33797436739093
2016;1;20;19;32.1263371540452;40.4452991544842;30.0002343134129;5.42559917078839
2016;1;20;20;-999;-999;4.58365502122858;-999
2016;1;20;21;60.4267238223224;133.828128029952;4.33812904011906;47.8721501291393
2016;1;20;22;55.7742901266126;105.074681689593;3.73720117472556;32.1535503551446
2016;1;20;23;46.3088736192387;92.5709408724066;3.03832846802896;30.1719654104081
2016;1;21;0;34.1133667353453;100.096111434208;3.52972875771562;43.0337252298545
2016;1;21;1;29.9567578253432;83.6145950232004;3.68870372695221;34.9954618126192
2016;1;21;2;26.3726624547076;60.1478574808045;3.42976211027855;22.0280691409743
2016;1;21;3;23.9122818957444;39.6821698421511;3.21171530716129;10.2850681324107
2016;1;21;4;23.1523822493938;38.9204384690108;3.166084205809;10.2838734863297
2016;1;21;5;23.0957382219172;48.5891966246537;3.30501621904615;16.6267482365128
2016;1;21;6;21.1329801402582;35.7150473511737;3.09812525895102;9.51037542469226
2016;1;21;7;19.982709195352;36.8885758038034;2.93991971538491;11.0259496133572
2016;1;21;8;20.9746929557395;43.6531967091818;2.70572380428257;14.7908442366854
2016;1;21;9;19.2167080398383;44.8178022909213;2.66878243772556;16.696947976517
2016;1;21;10;27.472304373697;114.151572022009;3.63989031700526;56.5319282204209
2016;1;21;11;25.6967355129709;54.9663069685248;10.0682626544732;19.0895165298513
2016;1;21;12;27.7795812709827;46.7780457924263;24.2957392834347;12.3907349676989
2016;1;21;13;20.2782179967542;29.0146388203786;44.4655274556495;5.69786441791824
2016;1;21;14;16.5582030144107;22.1844172718639;56.0089420017234;3.66939810619464
2016;1;21;15;14.4141444676956;19.8543076752409;56.1775322677465;3.5480562342097
2016;1;21;16;13.3355991095165;17.5887440670186;56.9922536875337;2.77388690481441
2016;1;21;17;12.3953098088457;15.4431932667696;56.9018687937365;1.98781938913756
2016;1;21;18;13.3467040230208;15.6892073604973;50.8078378759373;1.52777283568685
2016;1;21;19;13.7978316331263;16.2120024920008;-999;1.57451415325135
2016;1;21;20;27.0178759983147;47.2412163578005;27.4831131488771;13.1895948892671
